"","ST","STATE","OCC_TITLE","A_MEAN","Year","A_ADJ"
"11","AL","Alabama","Computer and Information Systems Managers",119480,2014,125590
"12","AL","Alabama","Financial Managers",119970,2014,126105
"35","AL","Alabama","Business and Financial Operations Occupations",68130,2014,71614
"58","AL","Alabama","Financial Analysts",85590,2014,89967
"59","AL","Alabama","Personal Financial Advisors",109190,2014,114774
"66","AL","Alabama","Computer and Mathematical Occupations",76330,2014,80233
"67","AL","Alabama","Computer and Information Research Scientists",101510,2014,106701
"68","AL","Alabama","Computer Systems Analysts",79700,2014,83776
"70","AL","Alabama","Computer Programmers",81250,2014,85405
"71","AL","Alabama","Software Developers, Applications",93170,2014,97934
"72","AL","Alabama","Software Developers, Systems Software",98350,2014,103379
"73","AL","Alabama","Web Developers",53250,2014,55973
"74","AL","Alabama","Database Administrators",72750,2014,76470
"75","AL","Alabama","Network and Computer Systems Administrators",69530,2014,73085
"81","AL","Alabama","Operations Research Analysts",90590,2014,95222
"82","AL","Alabama","Statisticians",56060,2014,58927
"489","AL","Alabama","Data Entry Keyers",26450,2014,27803
"497","AL","Alabama","Statistical Assistants",33700,2014,35423
"769","AK","Alaska","Computer and Information Systems Managers",114550,2014,98773
"770","AK","Alaska","Financial Managers",111640,2014,96264
"792","AK","Alaska","Business and Financial Operations Occupations",75190,2014,64834
"811","AK","Alaska","Financial Analysts",102690,2014,88546
"812","AK","Alaska","Personal Financial Advisors",92060,2014,79380
"819","AK","Alaska","Computer and Mathematical Occupations",75380,2014,64998
"820","AK","Alaska","Computer and Information Research Scientists",89070,2014,76802
"821","AK","Alaska","Computer Systems Analysts",79720,2014,68740
"823","AK","Alaska","Computer Programmers",81870,2014,70594
"824","AK","Alaska","Software Developers, Applications",81350,2014,70145
"825","AK","Alaska","Software Developers, Systems Software",NA,2014,NA
"826","AK","Alaska","Web Developers",59870,2014,51624
"827","AK","Alaska","Database Administrators",72300,2014,62342
"828","AK","Alaska","Network and Computer Systems Administrators",77790,2014,67076
"833","AK","Alaska","Operations Research Analysts",78270,2014,67490
"1163","AK","Alaska","Data Entry Keyers",35710,2014,30792
"1170","AK","Alaska","Statistical Assistants",43330,2014,37362
"1337","AZ","Arizona","Computer and Information Systems Managers",130330,2014,124178
"1338","AZ","Arizona","Financial Managers",113350,2014,107999
"1363","AZ","Arizona","Business and Financial Operations Occupations",64470,2014,61427
"1386","AZ","Arizona","Financial Analysts",72600,2014,69173
"1387","AZ","Arizona","Personal Financial Advisors",77020,2014,73384
"1395","AZ","Arizona","Computer and Mathematical Occupations",77960,2014,74280
"1396","AZ","Arizona","Computer and Information Research Scientists",113320,2014,107971
"1397","AZ","Arizona","Computer Systems Analysts",88580,2014,84399
"1399","AZ","Arizona","Computer Programmers",80350,2014,76557
"1400","AZ","Arizona","Software Developers, Applications",89650,2014,85418
"1401","AZ","Arizona","Software Developers, Systems Software",94160,2014,89715
"1402","AZ","Arizona","Web Developers",64340,2014,61303
"1403","AZ","Arizona","Database Administrators",75900,2014,72317
"1404","AZ","Arizona","Network and Computer Systems Administrators",76250,2014,72651
"1410","AZ","Arizona","Operations Research Analysts",69910,2014,66610
"1411","AZ","Arizona","Statisticians",78560,2014,74852
"1841","AZ","Arizona","Data Entry Keyers",28580,2014,27231
"1849","AZ","Arizona","Statistical Assistants",38660,2014,36835
"2103","AR","Arkansas","Computer and Information Systems Managers",109880,2014,115631
"2104","AR","Arkansas","Financial Managers",107650,2014,113285
"2128","AR","Arkansas","Business and Financial Operations Occupations",60210,2014,63362
"2149","AR","Arkansas","Financial Analysts",67550,2014,71086
"2150","AR","Arkansas","Personal Financial Advisors",82400,2014,86713
"2158","AR","Arkansas","Computer and Mathematical Occupations",65290,2014,68707
"2159","AR","Arkansas","Computer Systems Analysts",69790,2014,73443
"2161","AR","Arkansas","Computer Programmers",71620,2014,75369
"2162","AR","Arkansas","Software Developers, Applications",80260,2014,84461
"2163","AR","Arkansas","Software Developers, Systems Software",70080,2014,73748
"2164","AR","Arkansas","Web Developers",58810,2014,61888
"2165","AR","Arkansas","Database Administrators",64010,2014,67360
"2166","AR","Arkansas","Network and Computer Systems Administrators",68670,2014,72264
"2171","AR","Arkansas","Operations Research Analysts",61410,2014,64624
"2172","AR","Arkansas","Statisticians",55180,2014,58068
"2560","AR","Arkansas","Data Entry Keyers",26940,2014,28350
"2820","CA","California","Computer and Information Systems Managers",158660,2014,128242
"2821","CA","California","Financial Managers",144670,2014,116934
"2846","CA","California","Business and Financial Operations Occupations",79730,2014,64444
"2870","CA","California","Financial Analysts",102950,2014,83212
"2871","CA","California","Personal Financial Advisors",113240,2014,91530
"2879","CA","California","Computer and Mathematical Occupations",99450,2014,80384
"2880","CA","California","Computer and Information Research Scientists",124610,2014,100720
"2881","CA","California","Computer Systems Analysts",94470,2014,76358
"2883","CA","California","Computer Programmers",89250,2014,72139
"2884","CA","California","Software Developers, Applications",119970,2014,96969
"2885","CA","California","Software Developers, Systems Software",124070,2014,100283
"2886","CA","California","Web Developers",79520,2014,64274
"2887","CA","California","Database Administrators",93370,2014,75469
"2888","CA","California","Network and Computer Systems Administrators",88470,2014,71509
"2895","CA","California","Operations Research Analysts",96290,2014,77829
"2896","CA","California","Statisticians",103590,2014,83730
"3349","CA","California","Data Entry Keyers",32270,2014,26083
"3357","CA","California","Statistical Assistants",52270,2014,42249
"3649","CO","Colorado","Computer and Information Systems Managers",148170,2014,132499
"3650","CO","Colorado","Financial Managers",146320,2014,130844
"3675","CO","Colorado","Business and Financial Operations Occupations",73970,2014,66147
"3698","CO","Colorado","Financial Analysts",101060,2014,90371
"3699","CO","Colorado","Personal Financial Advisors",97450,2014,87143
"3707","CO","Colorado","Computer and Mathematical Occupations",88590,2014,79220
"3708","CO","Colorado","Computer and Information Research Scientists",105140,2014,94020
"3709","CO","Colorado","Computer Systems Analysts",95320,2014,85238
"3711","CO","Colorado","Computer Programmers",92070,2014,82332
"3712","CO","Colorado","Software Developers, Applications",101590,2014,90845
"3713","CO","Colorado","Software Developers, Systems Software",106170,2014,94941
"3714","CO","Colorado","Web Developers",61800,2014,55264
"3715","CO","Colorado","Database Administrators",94050,2014,84103
"3716","CO","Colorado","Network and Computer Systems Administrators",80160,2014,71682
"3723","CO","Colorado","Operations Research Analysts",83850,2014,74982
"3724","CO","Colorado","Statisticians",79960,2014,71503
"4154","CO","Colorado","Data Entry Keyers",34610,2014,30949
"4162","CO","Colorado","Statistical Assistants",47520,2014,42494
"4422","CT","Connecticut","Computer and Information Systems Managers",137650,2014,116177
"4423","CT","Connecticut","Financial Managers",140980,2014,118988
"4446","CT","Connecticut","Business and Financial Operations Occupations",79800,2014,67352
"4469","CT","Connecticut","Financial Analysts",99780,2014,84215
"4470","CT","Connecticut","Personal Financial Advisors",134570,2014,113578
"4478","CT","Connecticut","Computer and Mathematical Occupations",86770,2014,73234
"4479","CT","Connecticut","Computer and Information Research Scientists",114840,2014,96926
"4480","CT","Connecticut","Computer Systems Analysts",93990,2014,79328
"4482","CT","Connecticut","Computer Programmers",86460,2014,72973
"4483","CT","Connecticut","Software Developers, Applications",96370,2014,81337
"4484","CT","Connecticut","Software Developers, Systems Software",95160,2014,80316
"4485","CT","Connecticut","Web Developers",68710,2014,57992
"4486","CT","Connecticut","Database Administrators",88200,2014,74441
"4487","CT","Connecticut","Network and Computer Systems Administrators",86240,2014,72787
"4493","CT","Connecticut","Operations Research Analysts",95100,2014,80265
"4494","CT","Connecticut","Statisticians",NA,2014,NA
"4895","CT","Connecticut","Data Entry Keyers",35660,2014,30097
"4903","CT","Connecticut","Statistical Assistants",68950,2014,58194
"5134","DE","Delaware","Computer and Information Systems Managers",153540,2014,138790
"5135","DE","Delaware","Financial Managers",156640,2014,141592
"5156","DE","Delaware","Business and Financial Operations Occupations",73600,2014,66530
"5175","DE","Delaware","Financial Analysts",84070,2014,75994
"5176","DE","Delaware","Personal Financial Advisors",98250,2014,88812
"5184","DE","Delaware","Computer and Mathematical Occupations",86900,2014,78552
"5185","DE","Delaware","Computer and Information Research Scientists",83240,2014,75244
"5186","DE","Delaware","Computer Systems Analysts",89410,2014,80821
"5188","DE","Delaware","Computer Programmers",86550,2014,78236
"5189","DE","Delaware","Software Developers, Applications",97520,2014,88152
"5190","DE","Delaware","Software Developers, Systems Software",107220,2014,96920
"5191","DE","Delaware","Web Developers",81440,2014,73616
"5192","DE","Delaware","Database Administrators",88210,2014,79736
"5193","DE","Delaware","Network and Computer Systems Administrators",71950,2014,65038
"5198","DE","Delaware","Operations Research Analysts",82460,2014,74538
"5199","DE","Delaware","Statisticians",94990,2014,85865
"5517","DE","Delaware","Data Entry Keyers",27660,2014,25003
"5689","DC","District of Columbia","Computer and Information Systems Managers",146520,2014,113813
"5690","DC","District of Columbia","Financial Managers",142630,2014,110791
"5710","DC","District of Columbia","Business and Financial Operations Occupations",91780,2014,71292
"5730","DC","District of Columbia","Financial Analysts",103420,2014,80334
"5731","DC","District of Columbia","Personal Financial Advisors",111530,2014,86633
"5737","DC","District of Columbia","Computer and Mathematical Occupations",96570,2014,75013
"5738","DC","District of Columbia","Computer and Information Research Scientists",118390,2014,91962
"5739","DC","District of Columbia","Computer Systems Analysts",102680,2014,79759
"5741","DC","District of Columbia","Computer Programmers",89650,2014,69638
"5742","DC","District of Columbia","Software Developers, Applications",99900,2014,77599
"5743","DC","District of Columbia","Software Developers, Systems Software",99550,2014,77328
"5744","DC","District of Columbia","Web Developers",78710,2014,61140
"5745","DC","District of Columbia","Database Administrators",92220,2014,71634
"5746","DC","District of Columbia","Network and Computer Systems Administrators",89070,2014,69187
"5753","DC","District of Columbia","Operations Research Analysts",105990,2014,82330
"5754","DC","District of Columbia","Statisticians",103960,2014,80753
"6100","DC","District of Columbia","Data Entry Keyers",38450,2014,29867
"6107","DC","District of Columbia","Statistical Assistants",51520,2014,40019
"6210","FL","Florida","Computer and Information Systems Managers",135030,2014,124514
"6211","FL","Florida","Financial Managers",128550,2014,118539
"6236","FL","Florida","Business and Financial Operations Occupations",65740,2014,60620
"6260","FL","Florida","Financial Analysts",74970,2014,69132
"6261","FL","Florida","Personal Financial Advisors",102560,2014,94573
"6269","FL","Florida","Computer and Mathematical Occupations",72490,2014,66845
"6270","FL","Florida","Computer and Information Research Scientists",97890,2014,90267
"6271","FL","Florida","Computer Systems Analysts",84280,2014,77717
"6273","FL","Florida","Computer Programmers",76060,2014,70137
"6274","FL","Florida","Software Developers, Applications",84650,2014,78058
"6275","FL","Florida","Software Developers, Systems Software",94760,2014,87380
"6276","FL","Florida","Web Developers",60720,2014,55991
"6277","FL","Florida","Database Administrators",79560,2014,73364
"6278","FL","Florida","Network and Computer Systems Administrators",79970,2014,73742
"6285","FL","Florida","Operations Research Analysts",59720,2014,55069
"6286","FL","Florida","Statisticians",59010,2014,54414
"6729","FL","Florida","Data Entry Keyers",27710,2014,25552
"6737","FL","Florida","Statistical Assistants",38270,2014,35290
"7013","GA","Georgia","Computer and Information Systems Managers",128720,2014,128243
"7014","GA","Georgia","Financial Managers",127080,2014,126609
"7037","GA","Georgia","Business and Financial Operations Occupations",70950,2014,70687
"7060","GA","Georgia","Financial Analysts",78540,2014,78249
"7061","GA","Georgia","Personal Financial Advisors",112960,2014,112541
"7069","GA","Georgia","Computer and Mathematical Occupations",80740,2014,80441
"7070","GA","Georgia","Computer and Information Research Scientists",90590,2014,90254
"7071","GA","Georgia","Computer Systems Analysts",81400,2014,81098
"7073","GA","Georgia","Computer Programmers",NA,2014,NA
"7074","GA","Georgia","Software Developers, Applications",91390,2014,91051
"7075","GA","Georgia","Software Developers, Systems Software",94860,2014,94508
"7076","GA","Georgia","Web Developers",74790,2014,74513
"7077","GA","Georgia","Database Administrators",82220,2014,81915
"7078","GA","Georgia","Network and Computer Systems Administrators",80520,2014,80222
"7084","GA","Georgia","Operations Research Analysts",72560,2014,72291
"7085","GA","Georgia","Statisticians",84490,2014,84177
"7512","GA","Georgia","Data Entry Keyers",28540,2014,28434
"7520","GA","Georgia","Statistical Assistants",27020,2014,26920
"7790","HI","Hawaii","Computer and Information Systems Managers",98300,2014,76163
"7791","HI","Hawaii","Financial Managers",96490,2014,74761
"7814","HI","Hawaii","Business and Financial Operations Occupations",63560,2014,49246
"7835","HI","Hawaii","Financial Analysts",69270,2014,53671
"7836","HI","Hawaii","Personal Financial Advisors",96910,2014,75086
"7844","HI","Hawaii","Computer and Mathematical Occupations",73760,2014,57149
"7845","HI","Hawaii","Computer and Information Research Scientists",104970,2014,81331
"7846","HI","Hawaii","Computer Systems Analysts",77390,2014,59962
"7848","HI","Hawaii","Computer Programmers",68130,2014,52787
"7849","HI","Hawaii","Software Developers, Applications",85270,2014,66067
"7850","HI","Hawaii","Software Developers, Systems Software",85710,2014,66408
"7851","HI","Hawaii","Web Developers",NA,2014,NA
"7852","HI","Hawaii","Database Administrators",68910,2014,53392
"7853","HI","Hawaii","Network and Computer Systems Administrators",69110,2014,53547
"7858","HI","Hawaii","Operations Research Analysts",67190,2014,52059
"7859","HI","Hawaii","Statisticians",63520,2014,49215
"8214","HI","Hawaii","Data Entry Keyers",35490,2014,27498
"8221","HI","Hawaii","Statistical Assistants",39290,2014,30442
"8399","ID","Idaho","Computer and Information Systems Managers",102380,2014,100257
"8400","ID","Idaho","Financial Managers",92360,2014,90445
"8424","ID","Idaho","Business and Financial Operations Occupations",61270,2014,59999
"8445","ID","Idaho","Financial Analysts",72860,2014,71349
"8446","ID","Idaho","Personal Financial Advisors",85480,2014,83707
"8454","ID","Idaho","Computer and Mathematical Occupations",66150,2014,64778
"8455","ID","Idaho","Computer Systems Analysts",80100,2014,78439
"8457","ID","Idaho","Computer Programmers",64190,2014,62859
"8458","ID","Idaho","Software Developers, Applications",74370,2014,72828
"8459","ID","Idaho","Web Developers",50300,2014,49257
"8460","ID","Idaho","Database Administrators",64480,2014,63143
"8461","ID","Idaho","Network and Computer Systems Administrators",58580,2014,57365
"8466","ID","Idaho","Operations Research Analysts",70780,2014,69312
"8467","ID","Idaho","Statisticians",75050,2014,73494
"8842","ID","Idaho","Data Entry Keyers",28660,2014,28066
"9070","IL","Illinois","Computer and Information Systems Managers",123530,2014,113567
"9071","IL","Illinois","Financial Managers",125480,2014,115360
"9096","IL","Illinois","Business and Financial Operations Occupations",72370,2014,66533
"9119","IL","Illinois","Financial Analysts",87730,2014,80654
"9120","IL","Illinois","Personal Financial Advisors",98640,2014,90685
"9128","IL","Illinois","Computer and Mathematical Occupations",79670,2014,73244
"9129","IL","Illinois","Computer and Information Research Scientists",90700,2014,83385
"9130","IL","Illinois","Computer Systems Analysts",85500,2014,78604
"9132","IL","Illinois","Computer Programmers",74060,2014,68087
"9133","IL","Illinois","Software Developers, Applications",85740,2014,78825
"9134","IL","Illinois","Software Developers, Systems Software",99030,2014,91043
"9135","IL","Illinois","Web Developers",65160,2014,59905
"9136","IL","Illinois","Database Administrators",80850,2014,74329
"9137","IL","Illinois","Network and Computer Systems Administrators",77520,2014,71268
"9144","IL","Illinois","Operations Research Analysts",86350,2014,79386
"9145","IL","Illinois","Statisticians",77490,2014,71240
"9588","IL","Illinois","Data Entry Keyers",30320,2014,27875
"9596","IL","Illinois","Statistical Assistants",49980,2014,45949
"9877","IN","Indiana","Computer and Information Systems Managers",106500,2014,107271
"9878","IN","Indiana","Financial Managers",104060,2014,104814
"9903","IN","Indiana","Business and Financial Operations Occupations",62760,2014,63215
"9926","IN","Indiana","Financial Analysts",75720,2014,76268
"9927","IN","Indiana","Personal Financial Advisors",103720,2014,104471
"9935","IN","Indiana","Computer and Mathematical Occupations",69490,2014,69993
"9936","IN","Indiana","Computer and Information Research Scientists",100370,2014,101097
"9937","IN","Indiana","Computer Systems Analysts",70630,2014,71142
"9939","IN","Indiana","Computer Programmers",65470,2014,65944
"9940","IN","Indiana","Software Developers, Applications",86670,2014,87298
"9941","IN","Indiana","Software Developers, Systems Software",84950,2014,85565
"9942","IN","Indiana","Web Developers",53990,2014,54381
"9943","IN","Indiana","Database Administrators",69710,2014,70215
"9944","IN","Indiana","Network and Computer Systems Administrators",66770,2014,67254
"9950","IN","Indiana","Operations Research Analysts",71950,2014,72471
"9951","IN","Indiana","Statisticians",58980,2014,59407
"10384","IN","Indiana","Data Entry Keyers",26460,2014,26652
"10392","IN","Indiana","Statistical Assistants",34570,2014,34820
"10668","IA","Iowa","Computer and Information Systems Managers",114220,2014,115939
"10669","IA","Iowa","Financial Managers",107640,2014,109260
"10694","IA","Iowa","Business and Financial Operations Occupations",60980,2014,61898
"10715","IA","Iowa","Financial Analysts",76650,2014,77804
"10716","IA","Iowa","Personal Financial Advisors",81840,2014,83072
"10724","IA","Iowa","Computer and Mathematical Occupations",71470,2014,72546
"10725","IA","Iowa","Computer Systems Analysts",77530,2014,78697
"10727","IA","Iowa","Computer Programmers",67960,2014,68983
"10728","IA","Iowa","Software Developers, Applications",79850,2014,81052
"10729","IA","Iowa","Software Developers, Systems Software",91070,2014,92441
"10730","IA","Iowa","Web Developers",61200,2014,62121
"10731","IA","Iowa","Database Administrators",77740,2014,78910
"10732","IA","Iowa","Network and Computer Systems Administrators",66570,2014,67572
"10738","IA","Iowa","Operations Research Analysts",75090,2014,76220
"10739","IA","Iowa","Statisticians",69320,2014,70363
"11150","IA","Iowa","Data Entry Keyers",27710,2014,28127
"11158","IA","Iowa","Statistical Assistants",43880,2014,44540
"11411","KS","Kansas","Computer and Information Systems Managers",108720,2014,109870
"11412","KS","Kansas","Financial Managers",109470,2014,110627
"11436","KS","Kansas","Business and Financial Operations Occupations",65150,2014,65839
"11458","KS","Kansas","Financial Analysts",77440,2014,78259
"11459","KS","Kansas","Personal Financial Advisors",122750,2014,124048
"11467","KS","Kansas","Computer and Mathematical Occupations",70890,2014,71640
"11468","KS","Kansas","Computer and Information Research Scientists",95480,2014,96490
"11469","KS","Kansas","Computer Systems Analysts",77330,2014,78148
"11471","KS","Kansas","Computer Programmers",71320,2014,72074
"11472","KS","Kansas","Software Developers, Applications",86510,2014,87425
"11473","KS","Kansas","Software Developers, Systems Software",91850,2014,92821
"11474","KS","Kansas","Web Developers",57880,2014,58492
"11475","KS","Kansas","Database Administrators",78290,2014,79118
"11476","KS","Kansas","Network and Computer Systems Administrators",66620,2014,67324
"11482","KS","Kansas","Operations Research Analysts",72480,2014,73246
"11483","KS","Kansas","Statisticians",79500,2014,80341
"11875","KS","Kansas","Data Entry Keyers",31750,2014,32086
"11883","KS","Kansas","Statistical Assistants",38520,2014,38927
"12130","KY","Kentucky","Computer and Information Systems Managers",103300,2014,107230
"12131","KY","Kentucky","Financial Managers",96160,2014,99818
"12155","KY","Kentucky","Business and Financial Operations Occupations",59000,2014,61244
"12177","KY","Kentucky","Financial Analysts",65810,2014,68313
"12178","KY","Kentucky","Personal Financial Advisors",72660,2014,75424
"12186","KY","Kentucky","Computer and Mathematical Occupations",64080,2014,66518
"12187","KY","Kentucky","Computer Systems Analysts",69580,2014,72227
"12189","KY","Kentucky","Computer Programmers",64080,2014,66518
"12190","KY","Kentucky","Software Developers, Applications",73600,2014,76400
"12191","KY","Kentucky","Software Developers, Systems Software",82280,2014,85410
"12192","KY","Kentucky","Web Developers",51220,2014,53168
"12193","KY","Kentucky","Database Administrators",67160,2014,69715
"12194","KY","Kentucky","Network and Computer Systems Administrators",61960,2014,64317
"12199","KY","Kentucky","Operations Research Analysts",71810,2014,74542
"12200","KY","Kentucky","Statisticians",77160,2014,80095
"12610","KY","Kentucky","Data Entry Keyers",29220,2014,30332
"12618","KY","Kentucky","Statistical Assistants",50350,2014,52265
"12888","LA","Louisiana","Computer and Information Systems Managers",91130,2014,91790
"12889","LA","Louisiana","Financial Managers",98440,2014,99153
"12914","LA","Louisiana","Business and Financial Operations Occupations",59170,2014,59599
"12937","LA","Louisiana","Financial Analysts",78270,2014,78837
"12938","LA","Louisiana","Personal Financial Advisors",85530,2014,86149
"12946","LA","Louisiana","Computer and Mathematical Occupations",62320,2014,62771
"12947","LA","Louisiana","Computer and Information Research Scientists",79960,2014,80539
"12948","LA","Louisiana","Computer Systems Analysts",67090,2014,67576
"12950","LA","Louisiana","Computer Programmers",66570,2014,67052
"12951","LA","Louisiana","Software Developers, Applications",75980,2014,76530
"12952","LA","Louisiana","Software Developers, Systems Software",76400,2014,76953
"12953","LA","Louisiana","Web Developers",49920,2014,50282
"12954","LA","Louisiana","Database Administrators",68130,2014,68623
"12955","LA","Louisiana","Network and Computer Systems Administrators",65010,2014,65481
"12961","LA","Louisiana","Operations Research Analysts",56040,2014,56446
"12962","LA","Louisiana","Statisticians",70410,2014,70920
"13380","LA","Louisiana","Data Entry Keyers",28520,2014,28727
"13388","LA","Louisiana","Statistical Assistants",44390,2014,44711
"13646","ME","Maine","Computer and Information Systems Managers",100550,2014,94623
"13647","ME","Maine","Financial Managers",96080,2014,90417
"13670","ME","Maine","Business and Financial Operations Occupations",61310,2014,57696
"13692","ME","Maine","Financial Analysts",73600,2014,69262
"13693","ME","Maine","Personal Financial Advisors",126200,2014,118761
"13701","ME","Maine","Computer and Mathematical Occupations",67570,2014,63587
"13702","ME","Maine","Computer Systems Analysts",75260,2014,70824
"13704","ME","Maine","Computer Programmers",69590,2014,65488
"13705","ME","Maine","Software Developers, Applications",83540,2014,78616
"13706","ME","Maine","Software Developers, Systems Software",98050,2014,92271
"13707","ME","Maine","Web Developers",51600,2014,48559
"13708","ME","Maine","Database Administrators",63240,2014,59512
"13709","ME","Maine","Network and Computer Systems Administrators",64070,2014,60294
"13715","ME","Maine","Operations Research Analysts",72200,2014,67944
"13716","ME","Maine","Statisticians",NA,2014,NA
"14087","ME","Maine","Data Entry Keyers",28510,2014,26830
"14095","ME","Maine","Statistical Assistants",42290,2014,39797
"14307","MD","Maryland","Computer and Information Systems Managers",141270,2014,117608
"14308","MD","Maryland","Financial Managers",135660,2014,112938
"14331","MD","Maryland","Business and Financial Operations Occupations",78450,2014,65310
"14354","MD","Maryland","Financial Analysts",87880,2014,73161
"14355","MD","Maryland","Personal Financial Advisors",106150,2014,88371
"14363","MD","Maryland","Computer and Mathematical Occupations",94670,2014,78813
"14364","MD","Maryland","Computer and Information Research Scientists",113380,2014,94390
"14365","MD","Maryland","Computer Systems Analysts",91990,2014,76582
"14367","MD","Maryland","Computer Programmers",NA,2014,NA
"14368","MD","Maryland","Software Developers, Applications",108300,2014,90161
"14369","MD","Maryland","Software Developers, Systems Software",113570,2014,94548
"14370","MD","Maryland","Web Developers",75460,2014,62821
"14371","MD","Maryland","Database Administrators",88440,2014,73627
"14372","MD","Maryland","Network and Computer Systems Administrators",96500,2014,80337
"14379","MD","Maryland","Operations Research Analysts",92190,2014,76749
"14380","MD","Maryland","Statisticians",98400,2014,81919
"14811","MD","Maryland","Data Entry Keyers",30520,2014,25408
"14819","MD","Maryland","Statistical Assistants",46850,2014,39003
"15067","MA","Massachusetts","Computer and Information Systems Managers",143670,2014,123187
"15068","MA","Massachusetts","Financial Managers",128360,2014,110059
"15091","MA","Massachusetts","Business and Financial Operations Occupations",81320,2014,69726
"15114","MA","Massachusetts","Financial Analysts",101890,2014,87363
"15115","MA","Massachusetts","Personal Financial Advisors",132500,2014,113609
"15123","MA","Massachusetts","Computer and Mathematical Occupations",94820,2014,81301
"15124","MA","Massachusetts","Computer and Information Research Scientists",106780,2014,91556
"15125","MA","Massachusetts","Computer Systems Analysts",89030,2014,76337
"15127","MA","Massachusetts","Computer Programmers",88060,2014,75505
"15128","MA","Massachusetts","Software Developers, Applications",109670,2014,94034
"15129","MA","Massachusetts","Software Developers, Systems Software",114350,2014,98047
"15130","MA","Massachusetts","Web Developers",77170,2014,66168
"15131","MA","Massachusetts","Database Administrators",82410,2014,70661
"15132","MA","Massachusetts","Network and Computer Systems Administrators",84020,2014,72041
"15138","MA","Massachusetts","Operations Research Analysts",82750,2014,70952
"15139","MA","Massachusetts","Statisticians",86940,2014,74545
"15557","MA","Massachusetts","Data Entry Keyers",34910,2014,29933
"15565","MA","Massachusetts","Statistical Assistants",51140,2014,43849
"15824","MI","Michigan","Computer and Information Systems Managers",112930,2014,110470
"15825","MI","Michigan","Financial Managers",109930,2014,107536
"15850","MI","Michigan","Business and Financial Operations Occupations",65790,2014,64357
"15873","MI","Michigan","Financial Analysts",75780,2014,74129
"15874","MI","Michigan","Personal Financial Advisors",89410,2014,87462
"15882","MI","Michigan","Computer and Mathematical Occupations",72770,2014,71185
"15883","MI","Michigan","Computer and Information Research Scientists",103550,2014,101294
"15884","MI","Michigan","Computer Systems Analysts",82330,2014,80537
"15886","MI","Michigan","Computer Programmers",74810,2014,73180
"15887","MI","Michigan","Software Developers, Applications",81860,2014,80077
"15888","MI","Michigan","Software Developers, Systems Software",88500,2014,86572
"15889","MI","Michigan","Web Developers",60760,2014,59437
"15890","MI","Michigan","Database Administrators",82010,2014,80224
"15891","MI","Michigan","Network and Computer Systems Administrators",71690,2014,70128
"15898","MI","Michigan","Operations Research Analysts",83090,2014,81280
"15899","MI","Michigan","Statisticians",82020,2014,80233
"16333","MI","Michigan","Data Entry Keyers",29340,2014,28701
"16341","MI","Michigan","Statistical Assistants",49490,2014,48412
"16613","MN","Minnesota","Computer and Information Systems Managers",127330,2014,119702
"16614","MN","Minnesota","Financial Managers",127150,2014,119533
"16639","MN","Minnesota","Business and Financial Operations Occupations",67730,2014,63672
"16662","MN","Minnesota","Financial Analysts",81740,2014,76843
"16663","MN","Minnesota","Personal Financial Advisors",98140,2014,92261
"16671","MN","Minnesota","Computer and Mathematical Occupations",80210,2014,75405
"16672","MN","Minnesota","Computer and Information Research Scientists",127390,2014,119758
"16673","MN","Minnesota","Computer Systems Analysts",85880,2014,80735
"16675","MN","Minnesota","Computer Programmers",79330,2014,74578
"16676","MN","Minnesota","Software Developers, Applications",91720,2014,86225
"16677","MN","Minnesota","Software Developers, Systems Software",97880,2014,92016
"16678","MN","Minnesota","Web Developers",66380,2014,62403
"16679","MN","Minnesota","Database Administrators",89730,2014,84355
"16680","MN","Minnesota","Network and Computer Systems Administrators",80000,2014,75207
"16686","MN","Minnesota","Operations Research Analysts",89420,2014,84063
"16687","MN","Minnesota","Statisticians",79090,2014,74352
"17120","MN","Minnesota","Data Entry Keyers",31860,2014,29951
"17128","MN","Minnesota","Statistical Assistants",48990,2014,46055
"17395","MS","Mississippi","Computer and Information Systems Managers",88360,2014,93847
"17396","MS","Mississippi","Financial Managers",86990,2014,92392
"17421","MS","Mississippi","Business and Financial Operations Occupations",55890,2014,59361
"17443","MS","Mississippi","Financial Analysts",68980,2014,73263
"17444","MS","Mississippi","Personal Financial Advisors",69460,2014,73773
"17452","MS","Mississippi","Computer and Mathematical Occupations",62840,2014,66742
"17453","MS","Mississippi","Computer and Information Research Scientists",93250,2014,99041
"17454","MS","Mississippi","Computer Systems Analysts",65110,2014,69153
"17456","MS","Mississippi","Computer Programmers",63930,2014,67900
"17457","MS","Mississippi","Software Developers, Applications",83720,2014,88919
"17458","MS","Mississippi","Software Developers, Systems Software",79670,2014,84617
"17459","MS","Mississippi","Web Developers",55140,2014,58564
"17460","MS","Mississippi","Database Administrators",65810,2014,69897
"17461","MS","Mississippi","Network and Computer Systems Administrators",65500,2014,69567
"17466","MS","Mississippi","Operations Research Analysts",72940,2014,77469
"17467","MS","Mississippi","Statisticians",56780,2014,60306
"17852","MS","Mississippi","Data Entry Keyers",26040,2014,27657
"17860","MS","Mississippi","Statistical Assistants",27690,2014,29409
"18106","MO","Missouri","Computer and Information Systems Managers",117420,2014,120253
"18107","MO","Missouri","Financial Managers",121360,2014,124288
"18132","MO","Missouri","Business and Financial Operations Occupations",64940,2014,66507
"18155","MO","Missouri","Financial Analysts",78550,2014,80445
"18163","MO","Missouri","Computer and Mathematical Occupations",74960,2014,76768
