"xxx"	"xxx"	"xxx"	"VP Product at Google"	"San Francisco Bay Area"	500	"Massachusetts Institute of Technology"	1991	"1993"	"   Media Science"	"   PhD (incomplete)"	"Massachusetts Institute of Technology"	1989	"1991"	"   Media Science"	"   MS"	"University of Michigan"	1983	1987	"   Computer Science"	"   BS"	"SYDA Foundation"	1987	"present"	"   Volunteer"	""	"Virage"	1993.1	"2004.4"	"   CTO"	""	"Yahoo, Inc."	2004.5	"2008.2"	"   VP Advanced Development"	""	NA
"xxx"	"xxx"	"xxx"	"General manager startup Acceleration programs at Google"	"Palo Alto, California"	500	"The Hebrew University of Jerusalem"	2007	"2009"	"   Financial engineering, Banking, Capital Markets"	"   EMBA"	"The Interdisciplinary Center"	2000	"2007"	"   Law and Finance"	"   BA, LLB, LLM"	""	NA	NA	""	""	"Google"	2014.1	"2014.12"	"   Head of Campus TLV"	"   Israel"	"Google"	2014.1	"2015.8"	"   Developer Relations programs lead, the Americas &amp; Europe."	""	"Google"	2015.8	"present"	"   General manager startup Acceleration programs"	"   San Francisco Bay Area"	NA
"xxx"	"xxx"	"xxx"	"Director, Global Developer Ecosystem, Google Developers (Developer Relations)"	"San Francisco Bay Area"	500	"Georgetown University"	1999	"2001"	"   Communication, Culture, and Technology"	"   MA"	"Vanderbilt University"	1995	"1999"	"   Mathematics, minor in Religious Studies"	"   BS"	""	NA	NA	""	""	"Dogwood Productions"	2001.1	"2006.8"	"   Web Developer; Hosting, IT, and Security lead"	""	"Google"	2006.8	"present"	"   Director, Global Developer Ecosystem, Developer Relations"	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Senior Software Engineer at Google Brain"	"Mountain View, California"	105	"Monash University"	2011	"2012"	"   Mathematics"	"   Honors Degree of Bachelor of Science"	"Monash University"	2009	"2011"	"   Mathematics"	"   Bachelor of Science (B.Sc.)"	""	NA	NA	""	""	"Self Employed"	2008.1	"2013.7"	"   Mathematics Tutor"	"   Melbourne, Victoria, Australia"	"Monash University"	2011.7	"2013.7"	"   Graduate Teaching Associate (Mathematics and Computer Science)"	"   Clayton, Victoria, Australia"	"Google Display Ads"	2014.1	"2016.3"	"   Software Engineer"	"   Mountain View, California, USA"	NA
"xxx"	"xxx"	"xxx"	"Counsel at Google"	"Washington D.C. Metro Area"	500	"Georgetown University Law Center"	2009	"2009"	"   Law"	""	"University of San Francisco School of Law"	2007	"2010"	""	"   JD"	"American University"	2001	2003	"   Political Science"	"   B.A."	"Center for American Progress"	2010.8	"2011.9"	"   LSRJ/WLPPFP Fellow"	""	"The Raben Group"	2011.9	"2013.3"	"   Senior Associate"	"   Washington D.C. Metro Area"	"The Raben Group"	2013.3	"2015.5"	"   Director"	"   Washington D.C. Metro Area"	NA
"xxx"	"xxx"	"xxx"	"Head of Publishing, Brand Narrative at Google"	"Greater New York City Area"	500	"Columbia University - Graduate School of Journalism"	2002	"2002"	"   Book and Magazine Publishing"	"   Columbia Publishing Course"	"Universit̩ Paris Diderot"	2000	"2001"	"   Psychologie, Litt̩rature"	""	"Georgetown University"	1998	2002	"   English, Psychology, French"	"   BA"	"PSFK"	2006.12	"2012.1"	"   Contributing Writer/Editor"	""	"IRL PRODUCTIONS"	2010.6	"2014.6"	"   Co-Founder"	""	"Tribal Worldwide"	2010.8	"2010.12"	"   Planning Director"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"SVP Hardware at Google"	"Mountain View, California"	500	"Stanford University"	1998	"2000"	""	"   MBA"	"Stanford University"	1994	"1995"	"   Industrial Engineering"	"   MS"	"Stanford University"	1990	1994	"   Industrial Engineering"	"   BS"	"Motorola Mobility, a Lenovo Company"	2014.11	"2016.4"	"   President"	""	"Lytro Inc."	2014.11	"present"	"   Member Board Of Directors"	"   Mountain View"	"Google"	2014.2	"2014.10"	"   President, Motorola Mobility"	"   Sunnyvale, CA"	NA
"xxx"	"xxx"	"xxx"	"GM | Product Management | Product Marketing | Product Strategy | Platform &amp; Developer Ecosystems | Startups&#92;n"	"San Francisco Bay Area"	500	"University Of Bombay"	NA	""	"   Computer Science"	"   Bachelor&#39;s degree"	""	NA	""	""	""	""	NA	NA	""	""	"SAP"	2006.2	"2010.2"	"   VP Netweaver Platform and Portfolio Strategy"	"   Palo Alto"	"SAP"	2010.2	"2011.2"	"   VP, Head of Technology and Innovation Platform Marketing"	"   Palo Alto"	"SAP"	2011.2	"2013.2"	"   SVP Solution Marketing - Applications, Technology and Innovation  (Product+Solutions Marketing)"	"   Palo Alto"	NA
"xxx"	"xxx"	"xxx"	"Vice President at Google"	"San Francisco Bay Area"	500	"Harvard Business School"	2004	"2004"	""	"   PMD"	"University of California San Diego"	1996	"2000"	"   Computer Science"	"   BS"	""	NA	NA	""	""	"Kofax"	2007.7	"2008.10"	"   Executive Vice President Products"	""	"Google"	2008.1	"2011.9"	"   Product Management Director"	""	"Google"	2011.9	"2015.5"	"   Vice President, Product Management"	""	NA
"xxx"	"xxx"	"xxx"	"Google Senior Fellow at Google, Inc."	"Palo Alto, California"	500	"University of Washington"	NA	"1996"	"   Computer Science"	"   Ph.D"	"University of Washington"	NA	"1993"	"   Computer Science"	"   M.S"	""	NA	NA	""	""	"University of Washington"	1991.9	"1992.9"	"   Teaching Assistant and Instructor"	""	"University of Washington"	1992.9	"1996.9"	"   Research Assistant"	""	"Western Research Laboratory, Compaq Computer Corporation"	1996.9	"1999.1"	"   Member of Research Staff"	""	NA
