ST,STATE,OCC_TITLE,A_MEAN
AL,Alabama,All Occupations,41920
AL,Alabama,Management Occupations,109800
AL,Alabama,Chief Executives,210530
AL,Alabama,General and Operations Managers,122410
AL,Alabama,Legislators,22690
AL,Alabama,Advertising and Promotions Managers,111590
AL,Alabama,Marketing Managers,138920
AL,Alabama,Sales Managers,123980
AL,Alabama,Public Relations and Fundraising Managers,94220
AL,Alabama,Administrative Services Managers,100770
AL,Alabama,Computer and Information Systems Managers,120010
AL,Alabama,Financial Managers,125600
AL,Alabama,Industrial Production Managers,96990
AL,Alabama,Purchasing Managers,109780
AL,Alabama,"Transportation, Storage, and Distribution Managers",91500
AL,Alabama,Compensation and Benefits Managers,118180
AL,Alabama,Human Resources Managers,99670
AL,Alabama,Training and Development Managers,115360
AL,Alabama,Construction Managers,89680
AL,Alabama,"Education Administrators, Preschool and Childcare Center/Program",50000
AL,Alabama,"Education Administrators, Elementary and Secondary School",79710
AL,Alabama,"Education Administrators, Postsecondary",98110
AL,Alabama,"Education Administrators, All Other",89030
AL,Alabama,Architectural and Engineering Managers,137070
AL,Alabama,Food Service Managers,61860
AL,Alabama,Funeral Service Managers,66700
AL,Alabama,Lodging Managers,48370
AL,Alabama,Medical and Health Services Managers,99040
AL,Alabama,Natural Sciences Managers,110380
AL,Alabama,Postmasters and Mail Superintendents,73070
AL,Alabama,"Property, Real Estate, and Community Association Managers",73090
AL,Alabama,Social and Community Service Managers,65240
AL,Alabama,Emergency Management Directors,68180
AL,Alabama,"Managers, All Other",101480
AL,Alabama,Business and Financial Operations Occupations,69390
AL,Alabama,"Buyers and Purchasing Agents, Farm Products",66470
AL,Alabama,"Wholesale and Retail Buyers, Except Farm Products",51030
AL,Alabama,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",65930
AL,Alabama,"Claims Adjusters, Examiners, and Investigators",59510
AL,Alabama,"Insurance Appraisers, Auto Damage",69190
AL,Alabama,Compliance Officers,66070
AL,Alabama,Cost Estimators,60790
AL,Alabama,Human Resources Specialists,58170
AL,Alabama,Labor Relations Specialists,52470
AL,Alabama,Logisticians,84730
AL,Alabama,Management Analysts,91020
AL,Alabama,"Meeting, Convention, and Event Planners",48920
AL,Alabama,Fundraisers,48950
AL,Alabama,"Compensation, Benefits, and Job Analysis Specialists",58670
AL,Alabama,Training and Development Specialists,57260
AL,Alabama,Market Research Analysts and Marketing Specialists,59960
AL,Alabama,"Business Operations Specialists, All Other",80960
AL,Alabama,Accountants and Auditors,67040
AL,Alabama,Appraisers and Assessors of Real Estate,53300
AL,Alabama,Budget Analysts,76710
AL,Alabama,Credit Analysts,60340
AL,Alabama,Financial Analysts,89420
AL,Alabama,Personal Financial Advisors,122580
AL,Alabama,Insurance Underwriters,55820
AL,Alabama,Financial Examiners,64580
AL,Alabama,Credit Counselors,51290
AL,Alabama,Loan Officers,68050
AL,Alabama,"Tax Examiners and Collectors, and Revenue Agents",55980
AL,Alabama,Tax Preparers,29200
AL,Alabama,"Financial Specialists, All Other",72320
AL,Alabama,Computer and Mathematical Occupations,78180
AL,Alabama,Computer and Information Research Scientists,107260
AL,Alabama,Computer Systems Analysts,76940
AL,Alabama,Information Security Analysts,85610
AL,Alabama,Computer Programmers,83190
AL,Alabama,"Software Developers, Applications",94500
AL,Alabama,"Software Developers, Systems Software",99770
AL,Alabama,Web Developers,55860
AL,Alabama,Database Administrators,75660
AL,Alabama,Network and Computer Systems Administrators,71020
AL,Alabama,Computer Network Architects,94800
AL,Alabama,Computer User Support Specialists,47020
AL,Alabama,Computer Network Support Specialists,59530
AL,Alabama,"Computer Occupations, All Other",87580
AL,Alabama,Actuaries,98570
AL,Alabama,Operations Research Analysts,95090
AL,Alabama,Statisticians,62750
AL,Alabama,Architecture and Engineering Occupations,86130
AL,Alabama,"Architects, Except Landscape and Naval",80850
AL,Alabama,Landscape Architects,67810
AL,Alabama,Cartographers and Photogrammetrists,61150
AL,Alabama,Surveyors,52890
AL,Alabama,Aerospace Engineers,109980
AL,Alabama,Biomedical Engineers,87570
AL,Alabama,Chemical Engineers,99970
AL,Alabama,Civil Engineers,77850
AL,Alabama,Computer Hardware Engineers,107780
AL,Alabama,Electrical Engineers,95770
AL,Alabama,"Electronics Engineers, Except Computer",104830
AL,Alabama,Environmental Engineers,80680
AL,Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",93440
AL,Alabama,Industrial Engineers,88640
AL,Alabama,Materials Engineers,101970
AL,Alabama,Mechanical Engineers,87990
AL,Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",87260
AL,Alabama,Nuclear Engineers,124140
AL,Alabama,Petroleum Engineers,140490
AL,Alabama,"Engineers, All Other",114560
AL,Alabama,Architectural and Civil Drafters,49510
AL,Alabama,Electrical and Electronics Drafters,63290
AL,Alabama,Mechanical Drafters,58780
AL,Alabama,"Drafters, All Other",42730
AL,Alabama,Aerospace Engineering and Operations Technicians,62290
AL,Alabama,Civil Engineering Technicians,40110
AL,Alabama,Electrical and Electronics Engineering Technicians,59700
AL,Alabama,Electro-Mechanical Technicians,51890
AL,Alabama,Environmental Engineering Technicians,56390
AL,Alabama,Industrial Engineering Technicians,58690
AL,Alabama,Mechanical Engineering Technicians,53480
AL,Alabama,"Engineering Technicians, Except Drafters, All Other",62780
AL,Alabama,Surveying and Mapping Technicians,39850
AL,Alabama,"Life, Physical, and Social Science Occupations",61970
AL,Alabama,Soil and Plant Scientists,61880
AL,Alabama,Biochemists and Biophysicists,90920
AL,Alabama,Microbiologists,71170
AL,Alabama,Zoologists and Wildlife Biologists,62490
AL,Alabama,"Biological Scientists, All Other",62450
AL,Alabama,Conservation Scientists,71780
AL,Alabama,Foresters,57640
AL,Alabama,Epidemiologists,63550
AL,Alabama,"Medical Scientists, Except Epidemiologists",56980
AL,Alabama,"Life Scientists, All Other",107000
AL,Alabama,Physicists,126350
AL,Alabama,Atmospheric and Space Scientists,83340
AL,Alabama,Chemists,78450
AL,Alabama,Materials Scientists,89740
AL,Alabama,"Environmental Scientists and Specialists, Including Health",61090
AL,Alabama,"Geoscientists, Except Hydrologists and Geographers",81680
AL,Alabama,"Physical Scientists, All Other",72510
AL,Alabama,"Clinical, Counseling, and School Psychologists",77980
AL,Alabama,"Psychologists, All Other",91100
AL,Alabama,Urban and Regional Planners,60680
AL,Alabama,Anthropologists and Archeologists,45390
AL,Alabama,Historians,64280
AL,Alabama,"Social Scientists and Related Workers, All Other",81530
AL,Alabama,Agricultural and Food Science Technicians,47160
AL,Alabama,Biological Technicians,37200
AL,Alabama,Chemical Technicians,48750
AL,Alabama,Geological and Petroleum Technicians,53660
AL,Alabama,Nuclear Technicians,67010
AL,Alabama,"Environmental Science and Protection Technicians, Including Health",47100
AL,Alabama,Forensic Science Technicians,55650
AL,Alabama,Forest and Conservation Technicians,44430
AL,Alabama,"Life, Physical, and Social Science Technicians, All Other",38710
AL,Alabama,Community and Social Service Occupations,42990
AL,Alabama,Substance Abuse and Behavioral Disorder Counselors,41420
AL,Alabama,"Educational, Guidance, School, and Vocational Counselors",51870
AL,Alabama,Marriage and Family Therapists,39760
AL,Alabama,Mental Health Counselors,46940
AL,Alabama,Rehabilitation Counselors,36330
AL,Alabama,"Counselors, All Other",40630
AL,Alabama,"Child, Family, and School Social Workers",41180
AL,Alabama,Healthcare Social Workers,46900
AL,Alabama,Mental Health and Substance Abuse Social Workers,36770
AL,Alabama,"Social Workers, All Other",61270
AL,Alabama,Health Educators,43000
AL,Alabama,Probation Officers and Correctional Treatment Specialists,46150
AL,Alabama,Social and Human Service Assistants,25970
AL,Alabama,Community Health Workers,41220
AL,Alabama,"Community and Social Service Specialists, All Other",38150
AL,Alabama,Clergy,42890
AL,Alabama,"Directors, Religious Activities and Education",41390
AL,Alabama,"Religious Workers, All Other",24360
AL,Alabama,Legal Occupations,83950
AL,Alabama,Lawyers,114820
