GeoFips,GeoName,2014
1000,Alabama,87.2
2000,Alaska,106.3
4000,Arizona,96.2
5000,Arkansas,87.1
6000,California,113.4
8000,Colorado,102.5
9000,Connecticut,108.6
10000,Delaware,101.4
11000,District of Columbia,118
12000,Florida,99.4
13000,Georgia,92
15000,Hawaii,118.3
16000,Idaho,93.6
17000,Illinois,99.7
18000,Indiana,91
19000,Iowa,90.3
20000,Kansas,90.7
21000,Kentucky,88.3
22000,Louisiana,91
23000,Maine,97.4
24000,Maryland,110.1
25000,Massachusetts,106.9
26000,Michigan,93.7
27000,Minnesota,97.5
28000,Mississippi,86.3
29000,Missouri,89.5
30000,Montana,94.5
31000,Nebraska,90.5
32000,Nevada,98
33000,New Hampshire,105.2
34000,New Jersey,114
35000,New Mexico,95.1
36000,New York,115.7
37000,North Carolina,91.5
38000,North Dakota,91.6
39000,Ohio,89.2
40000,Oklahoma,89.7
41000,Oregon,99.2
42000,Pennsylvania,98
44000,Rhode Island,99.1
45000,South Carolina,90.1
46000,South Dakota,87.9
47000,Tennessee,89.9
48000,Texas,96.5
49000,Utah,97.2
50000,Vermont,101.8
51000,Virginia,102.6
53000,Washington,104.8
54000,West Virginia,88.4
55000,Wisconsin,93.3
56000,Wyoming,96.6
